;Unnamed: 0;flavordb_id;smiles;applicability_domain;bitter_prob;sweet_prob;SMILES_check;Std_SMILES;Parent_SMILES
0;0;7583;C1=CC=C(C=C1)OC2=CC=CC=C2;True;0.516086934739389;0.7812617975326659;c1ccc(Oc2ccccc2)cc1;c1ccc(Oc2ccccc2)cc1;c1ccc(Oc2ccccc2)cc1
1;1;8868;CCOC(=O)CC(=O)C;True;0.0244658471490701;0.98461181305941;CCOC(=O)CC(C)=O;CCOC(=O)CC(C)=O;CCOC(=O)CC(C)=O
2;2;10867438;CC1(C2CCC3(C2)C(C1=C)CCC3=O)C;True;0.5778126293995861;0.0935721865830605;C=C1C2CCC(=O)C23CCC(C3)C1(C)C;C=C1C2CCC(=O)C23CCC(C3)C1(C)C;C=C1C2CCC(=O)C23CCC(C3)C1(C)C
3;3;5365706;CCC=CCC=CCCO;True;0.1186375641603996;0.7891555279766003;CCC=CCC=CCCO;CCC=CCC=CCCO;CCC=CCC=CCCO
4;4;61989;CC(=O)CCSCCC(=O)C;True;0.2745147361364504;0.983181484883454;CC(=O)CCSCCC(C)=O;CC(=O)CCSCCC(C)=O;CC(=O)CCSCCC(C)=O
5;5;98492;CCCCCOC(=O)CC1=CC=CC=C1;True;0.0285425843488149;0.9493087938763844;CCCCCOC(=O)Cc1ccccc1;CCCCCOC(=O)Cc1ccccc1;CCCCCOC(=O)Cc1ccccc1
6;6;5364430;CCCCCCCCC=CCCCCCCCC(=O)OCC;True;0.6757283636626513;0.43129054189158;CCCCCCCCC=CCCCCCCCC(=O)OCC;CCCCCCCCC=CCCCCCCCC(=O)OCC;CCCCCCCCC=CCCCCCCCC(=O)OCC
7;7;21918450;CCCCC(CC)CCC=O;True;0.2454081062665999;0.5229099834986769;CCCCC(CC)CCC=O;CCCCC(CC)CCC=O;CCCCC(CC)CCC=O
8;8;8698;CCCCOC(=O)C1=CC=CC=C1;True;0.0246692564388534;0.9538563122889264;CCCCOC(=O)c1ccccc1;CCCCOC(=O)c1ccccc1;CCCCOC(=O)c1ccccc1
9;9;5365909;CCC=C(C)C(=O)O;True;0.0647146148420156;0.9638372599729912;CCC=C(C)C(=O)O;CCC=C(C)C(=O)O;CCC=C(C)C(=O)O
10;10;22873;CCCCCCOC(=O)CCCCC;True;0.0144745396248165;0.8944365039467235;CCCCCCOC(=O)CCCCC;CCCCCCOC(=O)CCCCC;CCCCCCOC(=O)CCCCC
11;11;5358336;CCCCC=CC(C)O;True;0.1640267453050336;0.9484307329780252;CCCCC=CC(C)O;CCCCC=CC(C)O;CCCCC=CC(C)O
12;12;6435835;CCCCCC(=CC1=CC=CC=C1)COC(=O)CC(C)C;True;0.3098358725564977;0.929963668901002;CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C;CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C;CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C
13;13;8129;CCCCCCCO;True;0.2740897797005312;0.9366807443028122;CCCCCCCO;CCCCCCCO;CCCCCCCO
14;14;61976;CC1=NC=C(S1)OC;True;0.515474932257132;0.8355680674507036;COc1cnc(C)s1;COc1cnc(C)s1;COc1cnc(C)s1
15;15;5284507;CC(=CCCC(=CCCC(C)(C=C)O)C)C;True;0.0827260335065458;0.9189613087910632;C=CC(C)(O)CCC=C(C)CCC=C(C)C;C=CC(C)(O)CCC=C(C)CCC=C(C)C;C=CC(C)(O)CCC=C(C)CCC=C(C)C
16;16;5363388;CCC=CCCOC(=O)C;True;0.0096624471121902;0.944858675977712;CCC=CCCOC(C)=O;CCC=CCCOC(C)=O;CCC=CCCOC(C)=O
17;17;8883;CC(C)(C#CC(C)(C)O)O;True;0.3481232119032591;0.940208998429184;CC(C)(O)C#CC(C)(C)O;CC(C)(O)C#CC(C)(C)O;CC(C)(O)C#CC(C)(C)O
18;18;89560;CCCCCCC(C=C)O;True;0.1468036025564594;0.9655557009070224;C=CC(O)CCCCCC;C=CC(O)CCCCCC;C=CC(O)CCCCCC
19;19;170833;CC1CCC(C(C1)O)C(=C)C;True;0.1926796374434101;0.6027448679730679;C=C(C)C1CCC(C)CC1O;C=C(C)C1CCC(C)CC1O;C=C(C)C1CCC(C)CC1O
20;20;7781;CCC(=O)OCCC(C)CCCC(=C)C;True;0.2008960588605777;0.8372852980021099;C=C(C)CCCC(C)CCOC(=O)CC;C=C(C)CCCC(C)CCOC(=O)CC;C=C(C)CCCC(C)CCOC(=O)CC
21;21;670;C(C(=O)CO)O;True;0.0662088863493884;0.7123309390217833;O=C(CO)CO;O=C(CO)CO;O=C(CO)CO
