;Unnamed: 0;id;smiles;compound_class;compound_subclass;name;molecular_weight;formula;cas_number;created_at;updated_at;SMILES_check;Std_SMILES;Parent_SMILES
0;0;3;COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C1O)C(O)=CC(O)=C2;Flavonoids;Anthocyanins;Malvidin 3-O-(6''-p-coumaroyl-glucoside);639.58;C32H31O14;;2005-09-07 11:07:11 UTC;2015-05-10 23:28:36 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(COC(=O)/C=C/c3ccc(O)cc3)C(O)C(O)C2O)cc(OC)c1O;COc1cc(-c2[o+]c3c(cc2OC2OC(COC(=O)/C=C/c4ccc(O)cc4)C(O)C(O)C2O)c(O)cc(O)c3)cc(OC)c1O;COc1cc(-c2[o+]c3c(cc2OC2OC(COC(=O)/C=C/c4ccc(O)cc4)C(O)C(O)C2O)c(O)cc(O)c3)cc(OC)c1O
1;1;5;CC(=O)OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O;Flavonoids;Anthocyanins;Delphinidin 3-O-(6''-acetyl-galactoside);507.421;C23H23O13;;2005-03-25 11:36:49 UTC;2015-05-10 23:28:36 UTC;CC(=O)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O;CC(=O)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O;CC(=O)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
2;2;6;[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;Flavonoids;Anthocyanins;Cyanidin 3-O-(6''-acetyl-galactoside);491.422;C23H23O12;;2005-03-25 11:36:49 UTC;2015-05-10 23:28:36 UTC;[H][C@@]1(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]([H])(COC(C)=O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]([H])(COC(C)=O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]([H])(COC(C)=O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O
3;3;8;OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O;Flavonoids;Anthocyanins;Cyanidin 3-O-galactoside;449.385;C21H21O11;;2002-08-22 11:51:47 UTC;2015-05-10 23:28:36 UTC;OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@H]1O
4;4;9;OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O;Flavonoids;Anthocyanins;Cyanidin 3-O-glucoside;449.385;C21H21O11;7084-24-4;2002-09-20 16:19:06 UTC;2015-05-10 23:28:36 UTC;OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
5;5;10;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Cyanidin 3-O-rutinoside;595.526;C27H31O15;;2002-09-20 16:19:39 UTC;2015-05-10 23:28:36 UTC;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
6;6;11;OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;Flavonoids;Anthocyanins;Cyanidin 3-O-sophoroside;611.525;C27H31O16;;2002-09-20 16:20:08 UTC;2015-05-10 23:28:36 UTC;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
7;7;12;OC[C@@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@H](O)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Pelargonidin 3-O-glucoside;433.385;C21H21O10;18466-51-8;2002-09-20 16:20:38 UTC;2015-05-10 23:28:36 UTC;OC[C@@H]1O[C@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O;OC[C@@H]1O[C@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O;OC[C@@H]1O[C@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O
8;8;13;O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Cyanidin 3-O-(6''-malonyl-glucoside);535.431;C24H23O14;;2004-04-14 14:20:32 UTC;2015-05-10 23:28:36 UTC;O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O;O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O;O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
9;9;14;COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O;Flavonoids;Anthocyanins;Peonidin;301.271;C16H13O6;134-01-0;2004-08-30 00:00:00 UTC;2015-05-10 23:28:36 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O;COc1c(O)ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)c1;COc1c(O)ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)c1
