IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
ATSC1m;0.00000;0.00000;-0.146
AATSC0Z;0.00000;0.00000;0.079
AATSC0m;0.00000;0.00000;0.081
ATSC1Z;0.00000;0.00000;-0.146
MIC0;0.00000;0.00000;0.156
AATSC0dv;0.00000;0.00000;0.268
BalabanJ;0.00000;0.00000;0.279
AATSC0v;0.00000;0.00000;-0.223
IC0;0.00000;0.00000;0.192
VSA_EState7;0.00000;0.00000;-0.098
ATSC4i;0.00000;0.00000;0.143
FilterItLogS;0.00000;0.00000;0.162
JGT10;0.00000;0.00000;0.280
JGI1;0.00000;0.00000;0.259
fMF;0.00000;0.00000;-0.298
PEOE_VSA6;0.00000;0.00000;-0.138
nRing;0.00000;0.00000;-0.158
Xch_6d;0.00000;0.00000;-0.153
AATS0Z;0.00000;0.00000;0.136
Xch_7d;0.00000;0.00000;-0.137
VSA_EState6;0.00000;0.00000;-0.084
Xch_6dv;0.00000;0.00000;-0.136
AATS0m;0.00000;0.00000;0.136
nAcid;0.00000;0.00000;0.196
Xch_7dv;0.00000;0.00000;-0.131
SssCH2;0.00000;0.00000;-0.103
JGI5;0.00000;0.00000;0.155
AATS0dv;0.00000;0.00000;0.185
SaaCH;0.00000;0.00000;-0.140
SaasC;0.00000;0.00000;-0.156
NsOH;0.00000;0.00000;0.159
EState_VSA3;0.00000;0.00000;-0.210
SlogP_VSA6;0.00000;0.00000;-0.141
NaaCH;0.00000;0.00000;-0.141
SMR_VSA7;0.00000;0.00000;-0.143
AATSC0p;0.00000;0.00000;-0.040
C2SP2;0.00000;0.00000;-0.144
nAromAtom;0.00000;0.00000;-0.154
nAromBond;0.00000;0.00000;-0.156
nBondsA;0.00000;0.00000;-0.156
Mi;0.00000;0.00000;0.156
AATS0i;0.00000;0.00000;0.153
naRing;0.00000;0.00000;-0.160
C3SP2;0.00000;0.00000;-0.154
n6Ring;0.00000;0.00000;-0.143
n6aRing;0.00000;0.00000;-0.143
AATSC0i;0.00000;0.00000;-0.184
ATSC8m;0.00000;0.00000;0.108
NaasC;0.00000;0.00000;-0.170
ATSC6p;0.00000;0.00000;-0.116
ATSC8Z;0.00000;0.00000;0.107
MZ;0.00000;0.00000;0.162
SLogP;0.00000;0.00000;-0.080
JGI2;0.00000;0.00000;0.106
ATSC3d;0.00000;0.00000;0.101
AMW;0.00000;0.00000;0.157
Mm;0.00000;0.00000;0.157
SRW09;0.00000;0.00000;-0.334
SRW07;0.00000;0.00000;-0.316
SsOH;0.00000;0.00000;0.122
ATSC6v;0.00000;0.00000;-0.079
Xch_5dv;0.00000;0.00000;-0.117
n5Ring;0.00000;0.00000;-0.116
nHRing;0.00000;0.00000;-0.116
n5HRing;0.00000;0.00000;-0.116
SRW05;0.00000;0.00000;-0.278
AATS0p;0.00000;0.00000;-0.131
SsssN;0.00000;0.00000;-0.133
Mp;0.00000;0.00000;-0.156
Xch_5d;0.00000;0.00000;-0.114
nARing_1;0.00000;0.00000;-0.117
n5ARing_1;0.00000;0.00000;-0.117
nAHRing_1;0.00000;0.00000;-0.117
n5AHRing_1;0.00000;0.00000;-0.117
piPC10;0.00000;0.00000;-0.176
piPC9;0.00000;0.00000;-0.144
piPC8;0.00000;0.00000;-0.130
EState_VSA4;0.00000;0.00000;-0.093
NsssN;0.00000;0.00000;-0.111
JGI8;0.00000;0.00000;0.075
ATSC4p;0.00000;0.00000;0.081
piPC7;0.00000;0.00000;-0.112
ATSC5d;0.00000;0.00000;-0.114
piPC5;0.00000;0.00000;-0.145
TpiPC10;0.00000;0.00000;-0.154
fragCpx;0.00000;0.00000;-0.036
piPC4;0.00000;0.00000;-0.144
EState_VSA7;0.00000;0.00000;-0.150
AATSC0d;0.00000;0.00000;0.094
JGI4;0.00000;0.00000;0.091
piPC6;0.00000;0.00000;-0.120
JGI7;0.00000;0.00000;0.040
ATSC1d;0.00000;0.00000;-0.057
Xpc_5dv;0.00000;0.00000;-0.061
Xpc_6dv;0.00000;0.00000;-0.061
Xp_7dv;0.00000;0.00000;-0.065
piPC3;0.00000;0.00000;-0.127
EState_VSA9;0.00000;0.00000;0.088
Xp_4dv;0.00000;0.00000;-0.063
nBondsM;0.00000;0.00000;-0.089
MPC10;0.00000;0.00000;-0.071
ATSC8v;0.00000;0.00000;0.078
ATSC3dv;0.00000;0.00000;-0.070
SMR_VSA6;0.00000;0.00000;-0.104
Xp_5dv;0.00000;0.00000;-0.063
Xp_6dv;0.00000;0.00000;-0.061
PEOE_VSA7;0.00000;0.00000;-0.063
MPC9;0.00000;0.00000;-0.068
C1SP3;0.00000;0.00000;-0.055
MPC8;0.00000;0.00000;-0.065
